comment,label
Aku mampir kesini karena mau coba beli alhamdulillah pas udah kebeli ternyata cocok sama kulitku yang sensitif ?? akhirnya setelah pake beberapa skincare ada yang cocok juga??,1
Udah hmpir setahun pake ini hasilnya uwaaoo emng...,1
Udah pake sleeping mask yang yuja ini dari pertama rilis dan emang bagus banget. Bahkan buat kulit mukaku yang cenderung kombinasi ke oily masih oke. Rasanya mirip kayak kalo pake Laneige sleeping mask ringan dan enak banget dipakenya. Worth it sih kalo pada nyari sleeping mask yang oke dan terjangkau harganya ????,1
makasiiii bgt udh review inii lg berusaha bgt ngilangin flek hitam:),1
Sleeping masknya juaraaaaa habisnya lama banget,1
Saya pake yg hujau kok panas yaaa cekit cekit gitu,-1
kalo pake moisturizer kog poriku jadi keliatan besar yah... jadi bingung..,-1
Aku lg pake yg luminous beneran bikin glowing tp bau obat gitu ga enak. Teksturnya lebih padet dikit drpd skintific biru. Aku lagi jerawatan mau beli yg ijo tp abis huhu. Jerawatku nambah sih pas pake ini?? Tp mungkin faktor stres juga karena lg banyak kerjaan hectic,-1
"Kak ji Aku pake yg biru tapi pemakaian 4 hari area sekitar dagu pinggir hidung mengelupas kak tapi pipi sekitar hidung tuh tadinya berasa mengkerut gthterus mengelupas
Itu gimana ya kak",-1
wah ternyata bukan aku aja yang gak cocok sama skintific??. jadi happy deh rasanya . soalnya aku agak aneh ko bisa ya sama skincare mahal malah GK ccok??.,-1
