comment,label
"Aku coba dan beneran kaget lngsung mumbling ""eh ini apaan? Ko bagus bener?!"" Di pake makin lama makin jadi bagus dan pas touch up pake bedak dengan brand yg sama hasilnya makin bagus?? gak ngerti lagi si sama brand ini???? gak cakey juga malah makin nyatu sama kulit",1
kak thankyou for amazing contentnyaa. cm masih penasaran somethinc copy paste vs makeover radiant moisturizer bgmn? ??,1
"Sumpah kak lu kok sekarang cakep bener yaaak??? W ngikutin lu dari awal2 lu bikin yutup ?? Bener2 makin auranya keliatab",1
Makasih Kak Lifni berkat Kakak saya coba tinted sunscreen ini dan syukurnya ketemu shade yang pass nyaman banget dipakainya dan puass,1
Sllu percya kalok kak lifni yg udah riview???,1
MAKEUP LOOK YANG DI VIDEO INI BENER2 CANTIK FLAWLESS GORJES ??  Livni 2019 pasti sangat bangga melihatnya!,1
enggk tau kenaoa kalo kak livny yg review lgsg percaya. next sunscreen stick dong kak,1
kaaa spill softlensnyaa dongggg. Cakeuppp euyyy,1
kakk livv makasihh udah speak up about shades yang menghilang fawn and penny :') berakhir aku ga beli produk somethinc ini karena shade ku ga ada hahahahha (why did you do that somethinc?),1
Kak lifni kamu cantik banget seriuuusss?,1
"Aku hoomannya pake goddess pas beli tinted sunscreen goddess malah keterangan :"""" Utng cocok sama kakak. Tapi emng se flawless itu dan akhirnya dapet validasi dari Lifni kalo ga perlu pake 2 jari??? Semangat terus ngontennya ????????",1
Gue suka bgt  karna kmu mirip rihana ?????,1
Suka x denger beliau ini ngoceh trs...g bosenin...klo beliau ini jd guru jamin murid nya kagak ada yg ngantuk ??,1
kak livni kalo reviewnya udah se semangat ini berarti gausah diraguin kualitasnya wkwk,1
sebelum direview kak lifni ingin beli setelah direview malah makin-makin hufttttt harganya tapi:(,1
"Agreee bener banget lebih enak dipake sebagai skintint hasilnya lebih cakep gak dempul tapi pastiin pake sunscreen dulu biar proteksinya lebih nampol ??
Dan justru kalo kena keringet tuh bikin makin ngeblend sama kulit makin cakep ???",1
Begitu murah meriah plus worth it...tadinya agak� ga yakin sih makanya liat review favoriteku dlu sbg fakta meyakinkan hati???????,1
Kak livvvvv semangat ngonteennya ???,1
warna kulit lu cantik bangeeet,1
Makasih dah jujur bilang bagusnya jadi tinted moisturizer karena aku gak yakin mau pakai sebanyak itu ??,1
And lu kata benar2 real ekspentasi gw bahkan ga terlalu tinggi tapi ternyata yg lu kata ga boong. Sumpah cinta bgt ???,1
sumpah sih cantik banget,1
Cantik bngt kak tasya??,1
Aku jg 1 shade cushionya sm kak tasyabener kaya kulit lg pake skinker aja tp lbh rata. Seneng bgt shadenya nyatu dikulit????,1
Kalo kulitku kaya kak Tasya aku ga akan makeup sumpahh?? bagus bgt,1
SUKAAAA KEREN TEKNIKNYA.  mau recreate buat wisuda hahahah bismillah ??,1
mamah nya ayang cantik bangett yaa allah????????,1
cantikkk,1
Cantikk bgttt ?,1
